Locatia;Business day;Aparatul
11-0004;18.08.2024;753474
11-0004;18.08.2024;753493
11-0004;18.08.2024;753479
11-0004;18.08.2024;761952
11-0004;21.08.2024;753474
11-0004;21.08.2024;755786
11-0004;21.08.2024;753479
11-0004;21.08.2024;761952
11-0004;21.08.2024;453265
11-0004;21.08.2024;753493
11-0004;21.08.2024;753447
11-0004;21.08.2024;761956
11-0004;21.08.2024;755755
11-0004;21.08.2024;523233
11-0004;21.08.2024;753458
11-0004;21.08.2024;753492
11-0004;21.08.2024;755742
11-0004;21.08.2024;755781
11-0004;22.08.2024;753474
11-0004;22.08.2024;755755
11-0004;22.08.2024;755742
11-0004;22.08.2024;761956
11-0004;22.08.2024;753447
11-0004;22.08.2024;453265
11-0004;22.08.2024;753458
11-0004;22.08.2024;753479
11-0004;22.08.2024;764804
11-0004;22.08.2024;764799
11-0004;22.08.2024;764792
11-0004;22.08.2024;753493
11-0004;22.08.2024;755786
11-0004;22.08.2024;761952
11-0004;22.08.2024;753478
11-0004;22.08.2024;753452
11-0004;22.08.2024;523193
11-0004;22.08.2024;755737
11-0004;22.08.2024;753492
11-0004;22.08.2024;761963
11-0004;22.08.2024;761927
11-0004;22.08.2024;523233
11-0004;22.08.2024;761962
11-0004;22.08.2024;761926
11-0004;22.08.2024;755769
11-0004;23.08.2024;753474
11-0004;23.08.2024;453265
11-0004;23.08.2024;523193
11-0004;23.08.2024;753479
11-0004;23.08.2024;753493
11-0004;23.08.2024;523233
11-0004;23.08.2024;576314
11-0004;23.08.2024;753458
11-0004;23.08.2024;755755
11-0004;23.08.2024;753447
11-0004;23.08.2024;761956
11-0004;23.08.2024;755737
11-0004;23.08.2024;761952
11-0004;23.08.2024;761927
11-0004;23.08.2024;753452
11-0004;23.08.2024;755742
11-0004;23.08.2024;764799
11-0004;23.08.2024;764792
11-0004;23.08.2024;753478
11-0004;23.08.2024;753492
11-0004;23.08.2024;755754
11-0004;23.08.2024;761963
11-0004;23.08.2024;764825
11-0004;23.08.2024;755781
11-0004;23.08.2024;764804
11-0004;23.08.2024;755769
11-0004;23.08.2024;761962
11-0004;23.08.2024;761966
11-0004;23.08.2024;761926
11-0004;23.08.2024;761939
11-0004;23.08.2024;761944
11-0004;23.08.2024;761920
11-0004;23.08.2024;755774
11-0004;23.08.2024;764826
11-0004;23.08.2024;764852
11-0004;23.08.2024;632694
11-0004;23.08.2024;445249
11-0004;24.08.2024;753479
11-0004;24.08.2024;753493
11-0004;24.08.2024;755755
11-0004;24.08.2024;753474
11-0004;24.08.2024;753447
11-0004;24.08.2024;761956
11-0004;24.08.2024;753452
11-0004;24.08.2024;753478
11-0004;24.08.2024;761952
11-0004;24.08.2024;755737
11-0004;24.08.2024;755781
11-0004;24.08.2024;755786
11-0004;24.08.2024;753458
11-0004;24.08.2024;753492
11-0004;24.08.2024;761963
11-0004;24.08.2024;453265
11-0004;24.08.2024;523193
11-0004;24.08.2024;445249
11-0004;24.08.2024;523233
11-0004;24.08.2024;764804
11-0004;24.08.2024;764799
11-0004;24.08.2024;761926
11-0004;24.08.2024;761962
11-0004;24.08.2024;761927
11-0004;24.08.2024;755754
11-0004;24.08.2024;761966
11-0004;24.08.2024;755766
11-0004;24.08.2024;761944
11-0004;24.08.2024;755742
11-0004;24.08.2024;761939
11-0004;24.08.2024;764853
11-0004;26.08.2024;753474
11-0004;26.08.2024;755786
11-0004;26.08.2024;523233
11-0004;26.08.2024;753479
11-0004;26.08.2024;753447
11-0004;26.08.2024;753493
11-0004;26.08.2024;755737
11-0004;26.08.2024;761952
11-0004;26.08.2024;761963
11-0004;26.08.2024;761956
11-0004;26.08.2024;753478
11-0004;26.08.2024;753452
11-0004;26.08.2024;755742
11-0004;26.08.2024;755781
11-0004;26.08.2024;753458
11-0004;26.08.2024;761939
11-0004;26.08.2024;576314
11-0004;26.08.2024;753492
